checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	moddrop_seed1114	LA	R0_mode	0.1	153	0.4753640396	0.6013850981	0.5887829923	0.1134189526
0	moddrop_seed1114	LA	R0_mode	0.2	306	0.529374992	0.6036349923	0.5887829923	0.05940800021
0	moddrop_seed1114	LA	R0_mode	0.3	459	0.5341098218	0.612214351	0.5887829923	0.05467317043
0	moddrop_seed1114	LA	R0_mode	0.5	765	0.5313423334	0.6462236511	0.5887829923	0.05744065881
0	moddrop_seed1114	LA	R0_mode	0.7	1071	0.5702046368	0.6321324883	0.5887829923	0.01857835544
0	moddrop_seed1114	LA	R0_mode	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	R1	0.1	153	0.437182859	0.6056274515	0.5887829923	0.1516001332
0	moddrop_seed1114	LA	R1	0.2	306	0.4617281064	0.6205467137	0.5887829923	0.1270548859
0	moddrop_seed1114	LA	R1	0.3	459	0.4781292783	0.6362060125	0.5887829923	0.110653714
0	moddrop_seed1114	LA	R1	0.5	765	0.5149797524	0.6625862321	0.5887829923	0.07380323981
0	moddrop_seed1114	LA	R1	0.7	1071	0.5717884527	0.6284369178	0.5887829923	0.01699453954
0	moddrop_seed1114	LA	R1	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	R2	0.1	153	0.3732043717	0.6127361723	0.5887829923	0.2155786206
0	moddrop_seed1114	LA	R2	0.2	306	0.4219134902	0.6305003678	0.5887829923	0.1668695021
0	moddrop_seed1114	LA	R2	0.3	459	0.4497237096	0.6483798277	0.5887829923	0.1390592827
0	moddrop_seed1114	LA	R2	0.5	765	0.4853323409	0.6922336437	0.5887829923	0.1034506514
0	moddrop_seed1114	LA	R2	0.7	1071	0.5165057461	0.7574299001	0.5887829923	0.07227724621
0	moddrop_seed1114	LA	R2	1	1530	0.5887829923	0	0.5887829923	1.110223025e-16
0	moddrop_seed1114	LA	N3_output_only	0.1	153	0.437182859	0.6056274515	0.5887829923	0.1516001332
0	moddrop_seed1114	LA	N3_output_only	0.2	306	0.4617281064	0.6205467137	0.5887829923	0.1270548859
0	moddrop_seed1114	LA	N3_output_only	0.3	459	0.4781292783	0.6362060125	0.5887829923	0.110653714
0	moddrop_seed1114	LA	N3_output_only	0.5	765	0.5149797524	0.6625862321	0.5887829923	0.07380323981
0	moddrop_seed1114	LA	N3_output_only	0.7	1071	0.5717884527	0.6284369178	0.5887829923	0.01699453954
0	moddrop_seed1114	LA	N3_output_only	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	N2_length_mask_only	0.1	153	0.585261035	0.5891743208	0.5887829923	0.003521957243
0	moddrop_seed1114	LA	N2_length_mask_only	0.2	306	0.6165072877	0.5818519184	0.5887829923	-0.02772429541
0	moddrop_seed1114	LA	N2_length_mask_only	0.3	459	0.6057450581	0.5815135355	0.5887829923	-0.01696206585
0	moddrop_seed1114	LA	N2_length_mask_only	0.5	765	0.5881265455	0.589439439	0.5887829923	0.0006564467676
0	moddrop_seed1114	LA	N2_length_mask_only	0.7	1071	0.5766135254	0.6171784149	0.5887829923	0.01216946684
0	moddrop_seed1114	LA	N2_length_mask_only	1	1530	0.5887829923	0	0.5887829923	1.110223025e-16
0	moddrop_seed1114	LA	N5_label_bin_prior	0.1	153	0.4134212532	0.6082676299	0.5887829923	0.1753617391
0	moddrop_seed1114	LA	N5_label_bin_prior	0.2	306	0.4602217652	0.620923299	0.5887829923	0.128561227
0	moddrop_seed1114	LA	N5_label_bin_prior	0.3	459	0.4748819934	0.6375977061	0.5887829923	0.1139009989
0	moddrop_seed1114	LA	N5_label_bin_prior	0.5	765	0.5142494657	0.6633165189	0.5887829923	0.07453352659
0	moddrop_seed1114	LA	N5_label_bin_prior	0.7	1071	0.5701772828	0.6321963144	0.5887829923	0.01860570949
0	moddrop_seed1114	LA	N5_label_bin_prior	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	N1_matched_gaussian	0.1	153	0.5656742399	0.5913506314	0.5887829923	0.02310875241
0	moddrop_seed1114	LA	N1_matched_gaussian	0.2	306	0.5904624278	0.5883631334	0.5887829923	-0.001679435542
0	moddrop_seed1114	LA	N1_matched_gaussian	0.3	459	0.5886852425	0.588824885	0.5887829923	9.774972554e-05
0	moddrop_seed1114	LA	N1_matched_gaussian	0.5	765	0.6026835267	0.5748824578	0.5887829923	-0.01390053442
0	moddrop_seed1114	LA	N1_matched_gaussian	0.7	1071	0.589512012	0.5870819462	0.5887829923	-0.0007290197367
0	moddrop_seed1114	LA	N1_matched_gaussian	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.1	153	0.6280648112	0.5844183457	0.5887829923	-0.03928181892
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.2	306	0.6035624065	0.5850881387	0.5887829923	-0.01477941425
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.3	459	0.5733455917	0.5953990211	0.5887829923	0.0154374006
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.5	765	0.5813657465	0.5962002381	0.5887829923	0.007417245801
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.7	1071	0.5737496918	0.6238606933	0.5887829923	0.01503330046
0	moddrop_seed1114	LA	N0_shuffle_seed23071	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.1	153	0.6654869552	0.5802603297	0.5887829923	-0.07670396297
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.2	306	0.6066076661	0.5843268238	0.5887829923	-0.01782467388
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.3	459	0.601665303	0.5832620019	0.5887829923	-0.01288231078
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.5	765	0.6060496097	0.5715163749	0.5887829923	-0.0172666174
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.7	1071	0.5897447228	0.5865389543	0.5887829923	-0.0009617305387
0	moddrop_seed1114	LA	N0_shuffle_seed23072	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.1	153	0.5960108069	0.5879799017	0.5887829923	-0.007227814597
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.2	306	0.5927305219	0.5877961099	0.5887829923	-0.003947529603
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.3	459	0.565990805	0.5985510725	0.5887829923	0.02279218726
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.5	765	0.567465993	0.6100999915	0.5887829923	0.02131699926
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.7	1071	0.5662267831	0.6414141469	0.5887829923	0.02255620912
0	moddrop_seed1114	LA	N0_shuffle_seed23073	1	1530	0.5887829923	0	0.5887829923	0
0	moddrop_seed1114	LV	R0_global	0.1	153	0.4687444942	0.598786597	0.5857823867	0.1170378925
0	moddrop_seed1114	LV	R0_global	0.2	306	0.5301977679	0.5996785414	0.5857823867	0.05558461879
0	moddrop_seed1114	LV	R0_global	0.3	459	0.5331456636	0.6083409824	0.5857823867	0.05263672317
0	moddrop_seed1114	LV	R0_global	0.5	765	0.5281450849	0.6434196886	0.5857823867	0.05763730185
0	moddrop_seed1114	LV	R0_global	0.7	1071	0.5667906288	0.6300964886	0.5857823867	0.01899175796
0	moddrop_seed1114	LV	R0_global	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	R0_mode	0.1	153	0.4687444942	0.598786597	0.5857823867	0.1170378925
0	moddrop_seed1114	LV	R0_mode	0.2	306	0.5301977679	0.5996785414	0.5857823867	0.05558461879
0	moddrop_seed1114	LV	R0_mode	0.3	459	0.5331456636	0.6083409824	0.5857823867	0.05263672317
0	moddrop_seed1114	LV	R0_mode	0.5	765	0.5281450849	0.6434196886	0.5857823867	0.05763730185
0	moddrop_seed1114	LV	R0_mode	0.7	1071	0.5667906288	0.6300964886	0.5857823867	0.01899175796
0	moddrop_seed1114	LV	R0_mode	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	R1	0.1	153	0.3592963764	0.610947499	0.5857823867	0.2264860104
0	moddrop_seed1114	LV	R1	0.2	306	0.4148475185	0.6285161038	0.5857823867	0.1709348682
0	moddrop_seed1114	LV	R1	0.3	459	0.4473771922	0.6450988987	0.5857823867	0.1384051945
0	moddrop_seed1114	LV	R1	0.5	765	0.5106246034	0.6609401701	0.5857823867	0.07515778333
0	moddrop_seed1114	LV	R1	0.7	1071	0.5645363059	0.6353565753	0.5857823867	0.02124608082
0	moddrop_seed1114	LV	R1	1	1530	0.5857823867	0	0.5857823867	1.110223025e-16
0	moddrop_seed1114	LV	R2	0.1	153	0.3684377888	0.6099317865	0.5857823867	0.2173445979
0	moddrop_seed1114	LV	R2	0.2	306	0.4070469853	0.6304662371	0.5857823867	0.1787354014
0	moddrop_seed1114	LV	R2	0.3	459	0.4234438989	0.6553560244	0.5857823867	0.1623384879
0	moddrop_seed1114	LV	R2	0.5	765	0.4658548222	0.7057099512	0.5857823867	0.1199275645
0	moddrop_seed1114	LV	R2	0.7	1071	0.5118878973	0.758202862	0.5857823867	0.07389448941
0	moddrop_seed1114	LV	R2	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N3_output_only	0.1	153	0.3592963764	0.610947499	0.5857823867	0.2264860104
0	moddrop_seed1114	LV	N3_output_only	0.2	306	0.4148475185	0.6285161038	0.5857823867	0.1709348682
0	moddrop_seed1114	LV	N3_output_only	0.3	459	0.4473771922	0.6450988987	0.5857823867	0.1384051945
0	moddrop_seed1114	LV	N3_output_only	0.5	765	0.5106246034	0.6609401701	0.5857823867	0.07515778333
0	moddrop_seed1114	LV	N3_output_only	0.7	1071	0.5645363059	0.6353565753	0.5857823867	0.02124608082
0	moddrop_seed1114	LV	N3_output_only	1	1530	0.5857823867	0	0.5857823867	1.110223025e-16
0	moddrop_seed1114	LV	N2_length_mask_only	0.1	153	0.5869061754	0.5856575213	0.5857823867	-0.001123788652
0	moddrop_seed1114	LV	N2_length_mask_only	0.2	306	0.606904963	0.5805017426	0.5857823867	-0.02112257631
0	moddrop_seed1114	LV	N2_length_mask_only	0.3	459	0.6002205687	0.5795945944	0.5857823867	-0.01443818202
0	moddrop_seed1114	LV	N2_length_mask_only	0.5	765	0.582346242	0.5892185315	0.5857823867	0.003436144763
0	moddrop_seed1114	LV	N2_length_mask_only	0.7	1071	0.5680722672	0.6271059989	0.5857823867	0.01771011951
0	moddrop_seed1114	LV	N2_length_mask_only	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N5_label_bin_prior	0.1	153	0.396768481	0.6067839318	0.5857823867	0.1890139057
0	moddrop_seed1114	LV	N5_label_bin_prior	0.2	306	0.4257052586	0.6258016688	0.5857823867	0.1600771281
0	moddrop_seed1114	LV	N5_label_bin_prior	0.3	459	0.4710536158	0.63495186	0.5857823867	0.1147287709
0	moddrop_seed1114	LV	N5_label_bin_prior	0.5	765	0.5140754349	0.6574893386	0.5857823867	0.07170695184
0	moddrop_seed1114	LV	N5_label_bin_prior	0.7	1071	0.5655293094	0.6330395671	0.5857823867	0.02025307729
0	moddrop_seed1114	LV	N5_label_bin_prior	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N1_matched_gaussian	0.1	153	0.5930481508	0.5849750796	0.5857823867	-0.007265764102
0	moddrop_seed1114	LV	N1_matched_gaussian	0.2	306	0.5732415011	0.5889176081	0.5857823867	0.01254088561
0	moddrop_seed1114	LV	N1_matched_gaussian	0.3	459	0.5809966837	0.5878334023	0.5857823867	0.004785703009
0	moddrop_seed1114	LV	N1_matched_gaussian	0.5	765	0.5978812411	0.5736835324	0.5857823867	-0.01209885434
0	moddrop_seed1114	LV	N1_matched_gaussian	0.7	1071	0.5857928019	0.5857580846	0.5857823867	-1.041519379e-05
0	moddrop_seed1114	LV	N1_matched_gaussian	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.1	153	0.6277075729	0.5811240327	0.5857823867	-0.04192518616
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.2	306	0.6069936109	0.5804795807	0.5857823867	-0.02121122415
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.3	459	0.6021819353	0.5787540088	0.5857823867	-0.01639954854
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.5	765	0.5877252347	0.5838395388	0.5857823867	-0.001942847946
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.7	1071	0.5787965316	0.6020827153	0.5857823867	0.006985855102
0	moddrop_seed1114	LV	N0_shuffle_seed23071	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.1	153	0.6380618939	0.5799735526	0.5857823867	-0.05227950721
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.2	306	0.6247013926	0.5760526352	0.5857823867	-0.03891900591
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.3	459	0.6034971088	0.578190363	0.5857823867	-0.01771472209
