checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.1	130	0.5211678889	0.5673313999	0.562704371	0.0415364821
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.2	260	0.5307013001	0.5707282847	0.562704371	0.03200307094
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.3	390	0.5316048866	0.5760768064	0.562704371	0.0310994844
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.5	649	0.5417862906	0.5836547324	0.562704371	0.02091808041
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.7	908	0.5511936977	0.5895724722	0.562704371	0.01151067331
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	1	1297	0.562704371	0	0.562704371	-1.110223025e-16
1	cfcompat_seed1111	LV	R0_global	0.1	130	0.5800077095	0.5578120663	0.5600367645	-0.01997094499
1	cfcompat_seed1111	LV	R0_global	0.2	260	0.5576959738	0.5606236551	0.5600367645	0.002340790652
1	cfcompat_seed1111	LV	R0_global	0.3	390	0.5575301547	0.5611145791	0.5600367645	0.002506609758
1	cfcompat_seed1111	LV	R0_global	0.5	649	0.5846075683	0.5354280427	0.5600367645	-0.02457080385
1	cfcompat_seed1111	LV	R0_global	0.7	908	0.5610324198	0.5577127155	0.5600367645	-0.0009956553378
1	cfcompat_seed1111	LV	R0_global	1	1297	0.5600367645	0	0.5600367645	0
1	cfcompat_seed1111	LV	R0_mode	0.1	130	0.5800077095	0.5578120663	0.5600367645	-0.01997094499
1	cfcompat_seed1111	LV	R0_mode	0.2	260	0.5576959738	0.5606236551	0.5600367645	0.002340790652
1	cfcompat_seed1111	LV	R0_mode	0.3	390	0.5575301547	0.5611145791	0.5600367645	0.002506609758
1	cfcompat_seed1111	LV	R0_mode	0.5	649	0.5846075683	0.5354280427	0.5600367645	-0.02457080385
1	cfcompat_seed1111	LV	R0_mode	0.7	908	0.5610324198	0.5577127155	0.5600367645	-0.0009956553378
1	cfcompat_seed1111	LV	R0_mode	1	1297	0.5600367645	0	0.5600367645	0
1	cfcompat_seed1111	LV	R1	0.1	130	0.3838074854	0.5796681324	0.5600367645	0.1762292791
1	cfcompat_seed1111	LV	R1	0.2	260	0.4391427719	0.590347698	0.5600367645	0.1208939926
1	cfcompat_seed1111	LV	R1	0.3	390	0.4692903163	0.5990567367	0.5600367645	0.09074644823
1	cfcompat_seed1111	LV	R1	0.5	649	0.4855504201	0.6346380569	0.5600367645	0.07448634437
1	cfcompat_seed1111	LV	R1	0.7	908	0.514748734	0.6657476428	0.5600367645	0.04528803047
1	cfcompat_seed1111	LV	R1	1	1297	0.5600367645	0	0.5600367645	0
1	cfcompat_seed1111	LV	R2	0.1	130	0.3819598611	0.5798739517	0.5600367645	0.1780769034
1	cfcompat_seed1111	LV	R2	0.2	260	0.3889445228	0.6029335657	0.5600367645	0.1710922417
1	cfcompat_seed1111	LV	R2	0.3	390	0.4133673934	0.623102977	0.5600367645	0.1466693711
1	cfcompat_seed1111	LV	R2	0.5	649	0.4771724287	0.6430289774	0.5600367645	0.08286433582
1	cfcompat_seed1111	LV	R2	0.7	908	0.5226983159	0.6471918066	0.5600367645	0.03733844863
1	cfcompat_seed1111	LV	R2	1	1297	0.5600367645	0	0.5600367645	0
1	cfcompat_seed1111	LV	N3_output_only	0.1	130	0.3838074854	0.5796681324	0.5600367645	0.1762292791
1	cfcompat_seed1111	LV	N3_output_only	0.2	260	0.4391427719	0.590347698	0.5600367645	0.1208939926
1	cfcompat_seed1111	LV	N3_output_only	0.3	390	0.4692903163	0.5990567367	0.5600367645	0.09074644823
1	cfcompat_seed1111	LV	N3_output_only	0.5	649	0.4855504201	0.6346380569	0.5600367645	0.07448634437
1	cfcompat_seed1111	LV	N3_output_only	0.7	908	0.514748734	0.6657476428	0.5600367645	0.04528803047
1	cfcompat_seed1111	LV	N3_output_only	1	1297	0.5600367645	0	0.5600367645	0
1	cfcompat_seed1111	LV	N2_length_mask_only	0.1	130	0.5288985831	0.5635054565	0.5600367645	0.03113818137
1	cfcompat_seed1111	LV	N2_length_mask_only	0.2	260	0.5672853796	0.5582193682	0.5600367645	-0.007248615145
1	cfcompat_seed1111	LV	N2_length_mask_only	0.3	390	0.5477313404	0.5653279612	0.5600367645	0.01230542413
1	cfcompat_seed1111	LV	N2_length_mask_only	0.5	649	0.5377525725	0.5823553456	0.5600367645	0.02228419196
1	cfcompat_seed1111	LV	N2_length_mask_only	0.7	908	0.5548592564	0.5721220533	0.5600367645	0.005177508071
1	cfcompat_seed1111	LV	N2_length_mask_only	1	1297	0.5600367645	0	0.5600367645	0
