SplitSeed	Probe	Mode	J	acc_7	acc_5	acc_2	F1_score	Corr	MAE	PredictionStd	PredictionMin	PredictionMax	ProjectEvaluatorRoundingParityMax
2101	P2	MissingMacro	0.2827934225400289	0.7636662556514592	0.7929510891903	0.9560846560846561	0.9560882359321726	0.937802459052096	0.2775420645872752	1.074578604935724	-3.0910490131745916	2.766246653975923	4.534025273609613e-05
2101	P3	LAV	0.26457987229029334	0.7728113440197287	0.8017879161528977	0.9587301587301588	0.9587211717286397	0.942331720525626	0.2675004303455353	1.081204774969637	-2.984271098942219	2.8336555868026667	3.172052562594452e-05
2101	P3	LA	0.26457987229029334	0.7765104808877928	0.8042540073982737	0.9646825396825397	0.9646154282069451	0.9431814233287941	0.2620745301246643	1.0823506545568367	-2.994069575962197	2.8848122304548296	4.599260172633013e-05
2101	P3	LV	0.26457987229029334	0.7746609124537608	0.8027127003699137	0.957936507936508	0.9578805754652503	0.9432963248989654	0.2630394995212555	1.071855525037361	-2.933811441620393	2.69592365126223	3.949952125548162e-05
2101	P3	L	0.26457987229029334	0.7749691738594328	0.8027127003699137	0.9626984126984127	0.9626488122050333	0.9438049534192278	0.2598639130592346	1.079844627229729	-2.9556784594692003	2.715815883252093	4.881220503327732e-05
2101	P3	MissingMacro	0.26457987229029334	0.7753801890669955	0.803226469379367	0.9617724867724867	0.961714938625743	0.9434275672156623	0.26165931423505145	1.0780169356079756	-2.961186492350597	2.7655172549897173	4.4768109338363025e-05
2102	P0	LAV	0.2622155646483103	0.7644287396937574	0.7909305064782096	0.961340206185567	0.9613357441403634	0.9441539384368981	0.26358237862586975	1.0750231359072668	-2.720199288541792	2.656353523816537	4.6061563101940095e-05
2102	P0	LA	0.2622155646483103	0.766489988221437	0.790341578327444	0.9631811487481591	0.9631116066885622	0.9443441598603308	0.2607329487800598	1.0790097019195257	-2.7460196271694044	2.6652221810633536	4.4159860330794665e-05
2102	P0	LV	0.2622155646483103	0.7688457008244994	0.7938751472320377	0.9628129602356407	0.962791370024739	0.9443945864071346	0.26188308000564575	1.067680974344831	-2.691637809226194	2.6250282988892617	4.5700824499395054e-05
2102	P0	L	0.2622155646483103	0.769434628975265	0.7929917550058893	0.9639175257731959	0.9638838559072327	0.9445388444145845	0.25993022322654724	1.0789662487905496	-2.7753519152364103	2.6301508302311345	3.8844414584460196e-05
2102	P0	MissingMacro	0.2622155646483103	0.7682567726737338	0.7924028268551236	0.9633038782523319	0.9632622775401779	0.9444258635606833	0.2608487506707509	1.075218975018302	-2.7376697838773363	2.6401337700612495	4.290169980488331e-05
2102	P1	LAV	0.2658928334712982	0.7591283863368669	0.7850412249705536	0.9624447717231223	0.9624619791587589	0.943583200172313	0.26759666204452515	1.1017765138393405	-2.7343540626937037	2.72243078593719	4.477172312222777e-05
2102	P1	LA	0.2658928334712982	0.7656065959952886	0.7888692579505301	0.9635493372606775	0.9635451301894854	0.9440938996971685	0.26370587944984436	1.099346934171345	-2.7972128184991036	2.6158785446737105	4.933726067746225e-05
2102	P1	LV	0.2658928334712982	0.7688457008244994	0.7947585394581861	0.9606038291605302	0.960590146793622	0.9438498595023408	0.26541444659233093	1.0910003874651453	-2.7676778746607806	2.605987421246042	4.985950234082104e-05
2102	P1	L	0.2658928334712982	0.7656065959952886	0.7900471142520612	0.9631811487481591	0.9631726367659305	0.9442044867403118	0.2634466886520386	1.0990818444652708	-2.822568406379257	2.621239879162274	4.7114252061164485e-05
2102	P1	MissingMacro	0.2658928334712982	0.7666862976050255	0.7912249705535924	0.9624447717231223	0.9624359712496792	0.9440494153132737	0.2641890048980713	1.096476388700587	-2.7958196998463802	2.614368615027342	4.8770338359815923e-05
