direction	config_id	mode	expert_id	spearman_risk_error	spearman_regret
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LA	uniform_kd_seed1111	0.1512189451	0.1752448437
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LA	moddrop_seed1111	0.1735806664	0.311392672
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LA	moddrop_seed1114	0.1405097856	0.2886001519
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LA	cfcompat_seed1111	0.1536497347	0.2819580454
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LA	cfcompat_seed1114	0.1191542098	0.2776346998
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LV	uniform_kd_seed1111	0.1807714144	0.2563309414
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LV	moddrop_seed1111	0.1776203796	0.3318818086
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LV	moddrop_seed1114	0.1703387887	0.3017313733
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LV	cfcompat_seed1111	0.1702664131	0.3296643953
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LV	cfcompat_seed1114	0.1385220292	0.2949046897
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	L	uniform_kd_seed1111	0.1869696932	0.1837885192
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	L	moddrop_seed1111	0.1999660462	0.3122784915
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	L	moddrop_seed1114	0.1751756338	0.2635755814
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	L	cfcompat_seed1111	0.1913749868	0.3074508422
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	L	cfcompat_seed1114	0.1529337622	0.262715322
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LAV	uniform_kd_seed1111	0.1769389296	0.2101788081
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LAV	moddrop_seed1111	0.1975993447	0.2659756694
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LAV	moddrop_seed1114	0.1504755676	0.2201080721
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LAV	cfcompat_seed1111	0.1721710894	0.2565214895
