direction	space	distance	K	weighting	beta	config_id	spearman_local_risk_vs_error	spearman_local_regret_vs_regret	top1_accuracy	top2_coverage	soft_regret_KL	selection_score	delta_risk_spearman_vs_mode_only	delta_regret_spearman_vs_mode_only
A	D	cosine	30	reciprocal_epsilon_1e-6		D__cosine__K30__reciprocal_epsilon_1e-6	0.1265597545	0.2599899371	0.2758226691	0.4047074954	1.260094808	0.1932748458	0.1124468691	0.2437447559
A	H	cosine	30	reciprocal_epsilon_1e-6	0.25	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p25	0.1945633926	0.2970883573	0.2168647166	0.3893967093	1.010714166	0.2458258749	0.1804505072	0.2808431761
A	H	cosine	30	reciprocal_epsilon_1e-6	0.5	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p5	0.2000454517	0.2851554951	0.2351462523	0.4047074954	0.9964629109	0.2426004734	0.1859325664	0.2689103139
A	H	cosine	30	reciprocal_epsilon_1e-6	0.75	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p75	0.1983687776	0.2554464647	0.2287477148	0.4165904936	0.9843587719	0.2269076212	0.1842558923	0.2392012835
A	C	cosine	30	exponential_query_neighbor_median_bandwidth		C__cosine__K30__exponential_query_neighbor_median_bandwidth	0.1570730693	0.0889271403	0.1921846435	0.3967093236	0.9964924224	0.1230001048	0.1429601839	0.0726819591
A	D	cosine	30	exponential_query_neighbor_median_bandwidth		D__cosine__K30__exponential_query_neighbor_median_bandwidth	0.1585555152	0.2876250727	0.2113802559	0.3603747715	1.070940526	0.223090294	0.1444426299	0.2713798915
A	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.25	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p25	0.1936847405	0.2975856227	0.2150365631	0.387797075	1.00727169	0.2456351816	0.1795718552	0.2813404415
A	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.5	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p5	0.1994171833	0.2861530809	0.2333180987	0.4049360146	0.9921614655	0.2427851321	0.185304298	0.2699078997
A	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.75	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p75	0.1978234465	0.2566545318	0.2260054845	0.4163619744	0.9792722016	0.2272389891	0.1837105611	0.2404093506
A	C	cosine	60	reciprocal_epsilon_1e-6		C__cosine__K60__reciprocal_epsilon_1e-6	0.1702525053	0.1014649624	0.1981261426	0.3932815356	0.928156886	0.1358587339	0.15613962	0.0852197812
A	D	cosine	60	reciprocal_epsilon_1e-6		D__cosine__K60__reciprocal_epsilon_1e-6	0.1352731131	0.2682083479	0.2664533821	0.3973948812	1.162951681	0.2017407305	0.1211602277	0.2519631667
A	H	cosine	60	reciprocal_epsilon_1e-6	0.25	H__cosine__K60__reciprocal_epsilon_1e-6__beta0p25	0.1863085086	0.3005947026	0.197440585	0.3743144424	0.9491770897	0.2434516056	0.1721956232	0.2843495214
A	H	cosine	60	reciprocal_epsilon_1e-6	0.5	H__cosine__K60__reciprocal_epsilon_1e-6__beta0p5	0.1968746622	0.2891464375	0.2127513711	0.3919104205	0.9287457308	0.2430105498	0.1827617769	0.2729012563
A	H	cosine	60	reciprocal_epsilon_1e-6	0.75	H__cosine__K60__reciprocal_epsilon_1e-6__beta0p75	0.2048241308	0.2663658986	0.2154936015	0.4136197441	0.9205436138	0.2355950147	0.1907112454	0.2501207174
A	C	cosine	60	exponential_query_neighbor_median_bandwidth		C__cosine__K60__exponential_query_neighbor_median_bandwidth	0.1699705631	0.1022183789	0.199725777	0.393738574	0.9213136888	0.136094471	0.1558576778	0.08597319771
A	D	cosine	60	exponential_query_neighbor_median_bandwidth		D__cosine__K60__exponential_query_neighbor_median_bandwidth	0.1663557248	0.2905692867	0.1901279707	0.3400365631	0.9967237629	0.2284625057	0.1522428395	0.2743241055
A	H	cosine	60	exponential_query_neighbor_median_bandwidth	0.25	H__cosine__K60__exponential_query_neighbor_median_bandwidth__beta0p25	0.1853138997	0.3011422083	0.1956124314	0.3711151737	0.9447230635	0.243228054	0.1712010143	0.2848970271
A	H	cosine	60	exponential_query_neighbor_median_bandwidth	0.5	H__cosine__K60__exponential_query_neighbor_median_bandwidth__beta0p5	0.196174009	0.290144382	0.2125228519	0.3921389397	0.9238020701	0.2431591955	0.1820611236	0.2738992008
A	H	cosine	60	exponential_query_neighbor_median_bandwidth	0.75	H__cosine__K60__exponential_query_neighbor_median_bandwidth__beta0p75	0.2042700768	0.2676414465	0.2157221207	0.4074497258	0.9152279603	0.2359557617	0.1901571915	0.2513962653
B	C	standardized_euclidean	15	reciprocal_epsilon_1e-6		C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	0.1628677578	0.1046476512	0.2151567944	0.4094076655	1.120768801	0.1337577045	0.1563418844	0.1102296454
B	D	standardized_euclidean	15	reciprocal_epsilon_1e-6		D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	0.1617477213	0.2981369262	0.2584204413	0.3922764228	1.235983928	0.2299423238	0.1552218479	0.3037189204
B	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	0.1776071329	0.3168286202	0.2552264808	0.3986643438	1.148953505	0.2472178766	0.1710812595	0.3224106144
B	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	0.2057154572	0.3101365923	0.2412891986	0.4146341463	1.128196005	0.2579260248	0.1991895838	0.3157185866
B	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	0.2051597067	0.2625465454	0.2334494774	0.4192799071	1.092719411	0.233853126	0.1986338333	0.2681285396
B	C	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	0.1613210369	0.1036946349	0.2157375145	0.4099883856	1.12086177	0.1325078359	0.1547951635	0.1092766291
B	D	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	0.1671992944	0.3029229543	0.2520325203	0.3867595819	1.201741025	0.2350611244	0.160673421	0.3085049485
B	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	0.1768620529	0.3162934922	0.2540650407	0.3975029036	1.148572741	0.2465777725	0.1703361795	0.3218754864
B	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	0.2045318324	0.3097068862	0.2409988386	0.4143437863	1.128993424	0.2571193593	0.198005959	0.3152888804
B	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	0.203467082	0.2618524274	0.2331591173	0.4201509872	1.093268462	0.2326597547	0.1969412086	0.2674344216
B	C	standardized_euclidean	30	reciprocal_epsilon_1e-6		C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	0.1897785934	0.1261731893	0.2128339141	0.4088269454	0.9817105392	0.1579758913	0.18325272	0.1317551835
B	D	standardized_euclidean	30	reciprocal_epsilon_1e-6		D__standardized_euclidean__K30__reciprocal_epsilon_1e-6	0.190992373	0.3199562702	0.2407084785	0.3800813008	1.092340993	0.2554743216	0.1844664996	0.3255382644
B	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p25	0.2222042844	0.3320857061	0.2331591173	0.3765969803	1.037314581	0.2771449953	0.215678411	0.3376677004
B	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p5	0.23511249	0.3296065828	0.2241579559	0.4024390244	1.014519591	0.2823595364	0.2285866166	0.335188577
B	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p75	0.2346066999	0.2892007285	0.2221254355	0.4198606272	0.9840321888	0.2619037142	0.2280808265	0.2947827227
B	C	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth	0.1877276807	0.1248542593	0.2128339141	0.4099883856	0.981905882	0.15629097	0.1812018072	0.1304362536
B	D	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth	0.1983095314	0.3237677409	0.2241579559	0.3710801394	1.066186519	0.2610386361	0.191783658	0.3293497351
B	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p25	0.2215036196	0.3316240362	0.2319976771	0.3725319396	1.037592181	0.2765638279	0.2149777462	0.3372060304
B	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p5	0.2341624665	0.3290200503	0.2244483159	0.4021486643	1.015549229	0.2815912584	0.2276365931	0.3346020446
B	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p75	0.2326601746	0.2883996807	0.2227061556	0.4192799071	0.9848681457	0.2605299277	0.2261343012	0.2939816749
B	C	standardized_euclidean	60	reciprocal_epsilon_1e-6		C__standardized_euclidean__K60__reciprocal_epsilon_1e-6	0.2087778271	0.142418316	0.2134146341	0.4157955865	0.9071958061	0.1755980715	0.2022519537	0.1480003102
B	D	standardized_euclidean	60	reciprocal_epsilon_1e-6		D__standardized_euclidean__K60__reciprocal_epsilon_1e-6	0.2146229459	0.3319997085	0.2215447154	0.3681765389	1.009959907	0.2733113272	0.2080970725	0.3375817027
B	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p25	0.2379520301	0.3391491043	0.2105110337	0.3591753775	0.9739824094	0.2885505672	0.2314261567	0.3447310986
B	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p5	0.2594660499	0.3364470145	0.2163182346	0.3838559814	0.9548765597	0.2979565322	0.2529401765	0.3420290087
B	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p75	0.2692281799	0.307474561	0.2102206736	0.4015679443	0.9205371525	0.2883513704	0.2627023065	0.3130565552
B	C	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth	0.2068104832	0.1407109955	0.2128339141	0.4163763066	0.9075774314	0.1737607394	0.2002846098	0.1462929897
B	D	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth	0.2213184403	0.3349839188	0.2041231127	0.3600464576	0.9913965109	0.2781511795	0.2147925669	0.340565913
B	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p25	0.2374888789	0.338594589	0.2081881533	0.3577235772	0.9745049452	0.2880417339	0.2309630054	0.3441765832
B	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p5	0.2585821537	0.3359566732	0.2154471545	0.3826945412	0.9557597834	0.2972694135	0.2520562803	0.3415386674
B	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p75	0.267411404	0.3066565262	0.2102206736	0.4004065041	0.9213183115	0.2870339651	0.2608855306	0.3122385204
B	C	cosine	15	reciprocal_epsilon_1e-6		C__cosine__K15__reciprocal_epsilon_1e-6	0.1916314878	0.1222898195	0.2180603949	0.4134727062	1.09657039	0.1569606537	0.1851056144	0.1278718137
B	D	cosine	15	reciprocal_epsilon_1e-6		D__cosine__K15__reciprocal_epsilon_1e-6	0.1360202423	0.2756049939	0.2871660859	0.4094076655	1.461154429	0.2058126181	0.1294943689	0.2811869881
B	H	cosine	15	reciprocal_epsilon_1e-6	0.25	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p25	0.2003555326	0.3149131016	0.2412891986	0.4085365854	1.148496489	0.2576343171	0.1938296592	0.3204950958
B	H	cosine	15	reciprocal_epsilon_1e-6	0.5	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p5	0.2142308029	0.2988431779	0.2317073171	0.4108594657	1.130531902	0.2565369904	0.2077049295	0.3044251721
B	H	cosine	15	reciprocal_epsilon_1e-6	0.75	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p75	0.2198515696	0.2676959476	0.224738676	0.4195702671	1.102347213	0.2437737586	0.2133256962	0.2732779418
B	C	cosine	15	exponential_query_neighbor_median_bandwidth		C__cosine__K15__exponential_query_neighbor_median_bandwidth	0.1907052646	0.1214888476	0.2166085947	0.4108594657	1.095317844	0.1560970561	0.1841793912	0.1270708418
B	D	cosine	15	exponential_query_neighbor_median_bandwidth		D__cosine__K15__exponential_query_neighbor_median_bandwidth	0.1638027234	0.3018261789	0.2473867596	0.387340302	1.264401431	0.2328144512	0.15727685	0.3074081732
B	H	cosine	15	exponential_query_neighbor_median_bandwidth	0.25	H__cosine__K15__exponential_query_neighbor_median_bandwidth__beta0p25	0.1993139502	0.314560125	0.237514518	0.4059233449	1.146551807	0.2569370376	0.1927880768	0.3201421192
B	H	cosine	15	exponential_query_neighbor_median_bandwidth	0.5	H__cosine__K15__exponential_query_neighbor_median_bandwidth__beta0p5	0.2130969078	0.2977594167	0.2319976771	0.4114401858	1.130405167	0.2554281622	0.2065710344	0.3033414109
B	H	cosine	15	exponential_query_neighbor_median_bandwidth	0.75	H__cosine__K15__exponential_query_neighbor_median_bandwidth__beta0p75	0.2179182815	0.2666722846	0.2235772358	0.4198606272	1.102344158	0.2422952831	0.2113924081	0.2722542789
B	C	cosine	30	reciprocal_epsilon_1e-6		C__cosine__K30__reciprocal_epsilon_1e-6	0.2115416888	0.1431452053	0.2198025552	0.4172473868	0.9687431034	0.177343447	0.2050158154	0.1487271995
B	D	cosine	30	reciprocal_epsilon_1e-6		D__cosine__K30__reciprocal_epsilon_1e-6	0.1562576062	0.2931095621	0.2743902439	0.4053426249	1.3139505	0.2246835842	0.1497317328	0.2986915563
B	H	cosine	30	reciprocal_epsilon_1e-6	0.25	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p25	0.2282465375	0.3312167799	0.2238675958	0.3861788618	1.034022759	0.2797316587	0.2217206641	0.3367987741
B	H	cosine	30	reciprocal_epsilon_1e-6	0.5	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p5	0.2423052785	0.3166777615	0.2200929152	0.4108594657	1.017748282	0.27949152	0.2357794051	0.3222597558
B	H	cosine	30	reciprocal_epsilon_1e-6	0.75	H__cosine__K30__reciprocal_epsilon_1e-6__beta0p75	0.2507698448	0.2928843715	0.2052845528	0.4120209059	0.9867472009	0.2718271082	0.2442439714	0.2984663658
B	C	cosine	30	exponential_query_neighbor_median_bandwidth		C__cosine__K30__exponential_query_neighbor_median_bandwidth	0.209534266	0.1418837776	0.218931475	0.4160859466	0.967811615	0.1757090218	0.2030083926	0.1474657718
B	D	cosine	30	exponential_query_neighbor_median_bandwidth		D__cosine__K30__exponential_query_neighbor_median_bandwidth	0.1979516656	0.3209699105	0.2227061556	0.362369338	1.121839069	0.259460788	0.1914257922	0.3265519047
B	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.25	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p25	0.227050597	0.3305410056	0.2212543554	0.3844367015	1.033713035	0.2787958013	0.2205247235	0.3361229999
B	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.5	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p5	0.2408550569	0.3156478652	0.218641115	0.4076655052	1.018048732	0.278251461	0.2343291835	0.3212298594
B	H	cosine	30	exponential_query_neighbor_median_bandwidth	0.75	H__cosine__K30__exponential_query_neighbor_median_bandwidth__beta0p75	0.248485903	0.2915941612	0.2070267131	0.4105691057	0.986698735	0.2700400321	0.2419600295	0.2971761554
B	C	cosine	60	reciprocal_epsilon_1e-6		C__cosine__K60__reciprocal_epsilon_1e-6	0.2144706473	0.1572797133	0.206445993	0.412311266	0.9001303669	0.1858751803	0.2079447739	0.1628617075
