method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
control__N0_random_same_mode_source__seed23403	LA	0.5555892827	0.7385404703	0.5246343341	0.5404157044	0.846278843	0.8459325751	0.5555892827	A
control__N0_random_same_mode_source__seed23403	LV	0.5530686809	0.7415424692	0.5257890685	0.5415704388	0.8459538512	0.8457744392	0.5530686809	A
control__N0_random_same_mode_source__seed23403	L	0.5553368127	0.7387276139	0.5256607647	0.541442135	0.8444913877	0.8443186178	0.5553368127	A
control__N0_random_same_mode_source__seed23403	Overall	0.5543002792	0.7399988296	0.525436233	0.5412817552	0.8458726032	0.8456056021	0.553935633	A
control__N1_shuffled_content__seed23411	LAV	0.5540955929	0.7394312839	0.5273287144	0.5434949962	0.8467663308	0.8462760908	0.5540955929	A
control__N1_shuffled_content__seed23411	LA	0.5558310755	0.7376022881	0.5268154991	0.5424685656	0.846278843	0.8457783853	0.5558310755	A
control__N1_shuffled_content__seed23411	LV	0.5542853477	0.7393927014	0.523992815	0.5396458814	0.8457913552	0.8455367916	0.5542853477	A
control__N1_shuffled_content__seed23411	L	0.5556140647	0.7377904764	0.5251475494	0.5409289197	0.8446538837	0.8443889977	0.5556140647	A
control__N1_shuffled_content__seed23411	Overall	0.5549565202	0.7385394359	0.5258211445	0.5416345907	0.8458726032	0.8454956342	0.5546695444	A
control__N1_shuffled_content__seed23412	LAV	0.5527774416	0.7408984805	0.5279702335	0.5442648191	0.8474163146	0.8469624224	0.5527774416	A
control__N1_shuffled_content__seed23412	LA	0.5554538392	0.7377802676	0.5251475494	0.5409289197	0.846278843	0.845830171	0.5554538392	A
control__N1_shuffled_content__seed23412	LV	0.5546504868	0.7387452943	0.525404157	0.5409289197	0.8461163471	0.8458623199	0.5546504868	A
control__N1_shuffled_content__seed23412	L	0.5564897116	0.737826523	0.523222992	0.5390043623	0.8451413715	0.8448857348	0.5564897116	A
control__N1_shuffled_content__seed23412	Overall	0.5548428698	0.738802493	0.525436233	0.5412817552	0.846238219	0.8458855031	0.5541543937	A
control__N1_shuffled_content__seed23413	LAV	0.5543992159	0.7393618729	0.5266871953	0.5429817809	0.8474163146	0.846841729	0.5543992159	A
control__N1_shuffled_content__seed23413	LA	0.5561682989	0.7378599462	0.5236079035	0.5395175776	0.846441339	0.8459327505	0.5561682989	A
control__N1_shuffled_content__seed23413	LV	0.5533295994	0.7404937966	0.5257890685	0.5416987426	0.8467663308	0.8463788161	0.5533295994	A
control__N1_shuffled_content__seed23413	L	0.5565765872	0.7372067519	0.5247626379	0.5404157044	0.843841404	0.8435154062	0.5565765872	A
control__N1_shuffled_content__seed23413	Overall	0.5551184254	0.7387168628	0.5252117013	0.5411534514	0.8461163471	0.8456672008	0.5548786889	A
control__N4_decision_randomization__seed23421	LAV	0.5536764945	0.7414884733	0.5233512959	0.5393892738	0.8466038349	0.8461903463	0.5536764945	A
control__N4_decision_randomization__seed23421	LA	0.5552699678	0.7391298211	0.5241211188	0.5400307929	0.8454663633	0.8450239584	0.5552699678	A
control__N4_decision_randomization__seed23421	LV	0.553620488	0.7411467793	0.5245060303	0.5404157044	0.846441339	0.8462211312	0.553620488	A
control__N4_decision_randomization__seed23421	L	0.5556671371	0.7387532904	0.52617398	0.541442135	0.8435164121	0.843342559	0.5556671371	A
control__N4_decision_randomization__seed23421	Overall	0.5545585219	0.7401210457	0.5245381062	0.5403194765	0.8455069873	0.845195057	0.5542645128	A
control__N4_decision_randomization__seed23422	LAV	0.5539804964	0.7406480848	0.5246343341	0.5410572235	0.8474163146	0.8471809904	0.5539804964	A
