checkpoint_fold	expert_id	mode	model	AURC	random_expected_AURC	AURC_improvement_vs_random	relative_AURC_improvement	downward_adjacent_steps	monotonic_non_decreasing
0	cfcompat_seed1114	LV	N2_length_mask_only	0.5196047101	0.5168431494	-0.00276156074	-0.005343131167	3	False
0	cfcompat_seed1114	LV	N3_output_only	0.4378333412	0.5168431494	0.07900980825	0.1528699923	0	True
0	cfcompat_seed1114	LV	N5_label_bin_prior	0.453436346	0.5168431494	0.06340680338	0.12268094	0	True
0	cfcompat_seed1114	LV	R0_global	0.4864372607	0.5168431494	0.03040588866	0.05883001196	1	False
0	cfcompat_seed1114	LV	R0_mode	0.4864372607	0.5168431494	0.03040588866	0.05883001196	1	False
0	cfcompat_seed1114	LV	R1	0.4378333412	0.5168431494	0.07900980825	0.1528699923	0	True
0	cfcompat_seed1114	LV	R2	0.4281648698	0.5168431494	0.08867827961	0.1715767728	0	True
0	moddrop_seed1111	L	N0_shuffle_seed23071	0.5077868595	0.5084636533	0.00067679381	0.00133105642	3	False
0	moddrop_seed1111	L	N0_shuffle_seed23072	0.5330169285	0.5084636533	-0.02455327521	-0.04828914524	4	False
0	moddrop_seed1111	L	N0_shuffle_seed23073	0.5398886305	0.5084636533	-0.0314249772	-0.06180378281	5	False
0	moddrop_seed1111	L	N1_matched_gaussian	0.5019397164	0.5084636533	0.00652393692	0.0128306849	2	False
0	moddrop_seed1111	L	N2_length_mask_only	0.5077696994	0.5084636533	0.000693953925	0.001364805371	3	False
0	moddrop_seed1111	L	N3_output_only	0.4399424424	0.5084636533	0.06852121096	0.1347612765	0	True
0	moddrop_seed1111	L	N5_label_bin_prior	0.4516987271	0.5084636533	0.05676492625	0.1116400865	1	False
0	moddrop_seed1111	L	R0_global	0.482862338	0.5084636533	0.02560131529	0.05035033502	1	False
0	moddrop_seed1111	L	R0_mode	0.482862338	0.5084636533	0.02560131529	0.05035033502	1	False
0	moddrop_seed1111	L	R1	0.4399424424	0.5084636533	0.06852121096	0.1347612765	0	True
0	moddrop_seed1111	L	R2	0.4288809445	0.5084636533	0.0795827088	0.1565160229	0	True
0	moddrop_seed1111	LA	N0_shuffle_seed23071	0.491309833	0.5081303014	0.01682046845	0.03310266757	4	False
0	moddrop_seed1111	LA	N0_shuffle_seed23072	0.5355612843	0.5081303014	-0.02743098291	-0.05398415099	5	False
0	moddrop_seed1111	LA	N0_shuffle_seed23073	0.5278557992	0.5081303014	-0.01972549781	-0.03881976287	5	False
0	moddrop_seed1111	LA	N1_matched_gaussian	0.5202904333	0.5081303014	-0.01216013188	-0.02393112917	3	False
0	moddrop_seed1111	LA	N2_length_mask_only	0.5072704327	0.5081303014	0.00085986875	0.001692220967	3	False
0	moddrop_seed1111	LA	N3_output_only	0.4297540457	0.5081303014	0.07837625572	0.1542444044	0	True
0	moddrop_seed1111	LA	N5_label_bin_prior	0.4502637755	0.5081303014	0.05786652591	0.1138812737	0	True
0	moddrop_seed1111	LA	R0_global	0.4827825211	0.5081303014	0.02534778029	0.04988440999	1	False
0	moddrop_seed1111	LA	R0_mode	0.4827825211	0.5081303014	0.02534778029	0.04988440999	1	False
0	moddrop_seed1111	LA	R1	0.4297540457	0.5081303014	0.07837625572	0.1542444044	0	True
0	moddrop_seed1111	LA	R2	0.4323540459	0.5081303014	0.07577625555	0.1491276063	0	True
0	moddrop_seed1111	LAV	N0_shuffle_seed23071	0.4994573989	0.5069692781	0.0075118792	0.01481722764	3	False
0	moddrop_seed1111	LAV	N0_shuffle_seed23072	0.536111565	0.5069692781	-0.02914228684	-0.05748333893	5	False
0	moddrop_seed1111	LAV	N0_shuffle_seed23073	0.5271216485	0.5069692781	-0.02015237038	-0.03975067375	5	False
0	moddrop_seed1111	LAV	N1_matched_gaussian	0.493220182	0.5069692781	0.01374909607	0.02712017604	1	False
0	moddrop_seed1111	LAV	N2_length_mask_only	0.5037558484	0.5069692781	0.00321342968	0.006338509686	3	False
0	moddrop_seed1111	LAV	N3_output_only	0.4444751955	0.5069692781	0.0624940826	0.1232699599	0	True
0	moddrop_seed1111	LAV	N5_label_bin_prior	0.4478492412	0.5069692781	0.05912003694	0.1166146342	0	True
0	moddrop_seed1111	LAV	R0_global	0.4818382756	0.5069692781	0.02513100251	0.04957105607	1	False
0	moddrop_seed1111	LAV	R0_mode	0.4818382756	0.5069692781	0.02513100251	0.04957105607	1	False
0	moddrop_seed1111	LAV	R1	0.4444751955	0.5069692781	0.0624940826	0.1232699599	0	True
0	moddrop_seed1111	LAV	R2	0.4279349117	0.5069692781	0.07903436646	0.1558957709	0	True
0	moddrop_seed1111	LV	N0_shuffle_seed23071	0.5004001952	0.5073661663	0.00696597114	0.01372967218	3	False
0	moddrop_seed1111	LV	N0_shuffle_seed23072	0.5187276641	0.5073661663	-0.01136149775	-0.022393093	4	False
0	moddrop_seed1111	LV	N0_shuffle_seed23073	0.5210405742	0.5073661663	-0.01367440788	-0.02695175357	4	False
0	moddrop_seed1111	LV	N1_matched_gaussian	0.4996180668	0.5073661663	0.007748099515	0.01527121836	1	False
0	moddrop_seed1111	LV	N2_length_mask_only	0.5065188759	0.5073661663	0.00084729045	0.001669978225	3	False
0	moddrop_seed1111	LV	N3_output_only	0.430090899	0.5073661663	0.07727526731	0.1523067016	0	True
0	moddrop_seed1111	LV	N5_label_bin_prior	0.4470367462	0.5073661663	0.06032942009	0.1189070618	0	True
0	moddrop_seed1111	LV	R0_global	0.4819868289	0.5073661663	0.02537933741	0.05002173795	1	False
0	moddrop_seed1111	LV	R0_mode	0.4819868289	0.5073661663	0.02537933741	0.05002173795	1	False
0	moddrop_seed1111	LV	R1	0.430090899	0.5073661663	0.07727526731	0.1523067016	0	True
0	moddrop_seed1111	LV	R2	0.4284105845	0.5073661663	0.07895558178	0.1556185395	0	True
0	moddrop_seed1114	L	N0_shuffle_seed23071	0.5587130611	0.5299908884	-0.02872217268	-0.05419371033	5	False
0	moddrop_seed1114	L	N0_shuffle_seed23072	0.5390572214	0.5299908884	-0.009066333035	-0.01710658284	4	False
0	moddrop_seed1114	L	N0_shuffle_seed23073	0.5180905824	0.5299908884	0.01190030597	0.0224537935	2	False
0	moddrop_seed1114	L	N1_matched_gaussian	0.5373429875	0.5299908884	-0.007352099045	-0.01387212348	1	False
0	moddrop_seed1114	L	N2_length_mask_only	0.5322530281	0.5299908884	-0.00226213971	-0.004268261511	3	False
0	moddrop_seed1114	L	N3_output_only	0.4623521108	0.5299908884	0.06763877763	0.1276225292	1	False
0	moddrop_seed1114	L	N5_label_bin_prior	0.4709437812	0.5299908884	0.05904710723	0.1114115516	0	True
0	moddrop_seed1114	L	R0_global	0.4936325203	0.5299908884	0.03635836815	0.06860187401	1	False
0	moddrop_seed1114	L	R0_mode	0.4936325203	0.5299908884	0.03635836815	0.06860187401	1	False
0	moddrop_seed1114	L	R1	0.4623521108	0.5299908884	0.06763877763	0.1276225292	1	False
0	moddrop_seed1114	L	R2	0.4355008903	0.5299908884	0.09448999811	0.1782860803	0	True
0	moddrop_seed1114	LA	N0_shuffle_seed23071	0.5257893411	0.5299046931	0.00411535201	0.007766211668	3	False
0	moddrop_seed1114	LA	N0_shuffle_seed23072	0.5411484613	0.5299046931	-0.01124376824	-0.02121847265	4	False
0	moddrop_seed1114	LA	N0_shuffle_seed23073	0.5173395565	0.5299046931	0.01256513657	0.02371206885	3	False
0	moddrop_seed1114	LA	N1_matched_gaussian	0.5318648983	0.5299046931	-0.001960205265	-0.0036991657	3	False
0	moddrop_seed1114	LA	N2_length_mask_only	0.5318716785	0.5299046931	-0.00196698546	-0.003711960822	3	False
0	moddrop_seed1114	LA	N3_output_only	0.4740118578	0.5299046931	0.05589283523	0.1054771471	0	True
0	moddrop_seed1114	LA	N5_label_bin_prior	0.4716372009	0.5299046931	0.05826749219	0.1099584377	0	True
0	moddrop_seed1114	LA	R0_global	0.4939592492	0.5299046931	0.03594544389	0.06783379043	1	False
0	moddrop_seed1114	LA	R0_mode	0.4939592492	0.5299046931	0.03594544389	0.06783379043	1	False
0	moddrop_seed1114	LA	R1	0.4740118578	0.5299046931	0.05589283523	0.1054771471	0	True
0	moddrop_seed1114	LA	R2	0.4428204776	0.5299046931	0.08708421548	0.1643393928	0	True
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.5199043167	0.5268682218	0.006963905095	0.01321754626	3	False
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.5444143371	0.5268682218	-0.01754611532	-0.03330266393	3	False
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.5140138185	0.5268682218	0.01285440327	0.02439775781	1	False
0	moddrop_seed1114	LAV	N1_matched_gaussian	0.5082736654	0.5268682218	0.01859455637	0.03529261322	0	True
0	moddrop_seed1114	LAV	N2_length_mask_only	0.5261827241	0.5268682218	0.00068549767	0.001301079932	3	False
0	moddrop_seed1114	LAV	N3_output_only	0.4650826516	0.5268682218	0.06178557022	0.1172694949	0	True
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.4685630464	0.5268682218	0.05830517535	0.1106636782	0	True
0	moddrop_seed1114	LAV	R0_global	0.4920046514	0.5268682218	0.03486357041	0.06617132893	1	False
0	moddrop_seed1114	LAV	R0_mode	0.4920046514	0.5268682218	0.03486357041	0.06617132893	1	False
0	moddrop_seed1114	LAV	R1	0.4650826516	0.5268682218	0.06178557022	0.1172694949	0	True
0	moddrop_seed1114	LAV	R2	0.4338662184	0.5268682218	0.09300200338	0.1765185288	0	True
0	moddrop_seed1114	LV	N0_shuffle_seed23071	0.5325235679	0.527204148	-0.005319419845	-0.01008986721	4	False
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.5304296709	0.527204148	-0.00322552289	-0.006118166752	4	False
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.5073219285	0.527204148	0.0198822195	0.03771256272	1	False
0	moddrop_seed1114	LV	N1_matched_gaussian	0.5280178669	0.527204148	-0.000813718875	-0.001543460684	3	False
0	moddrop_seed1114	LV	N2_length_mask_only	0.5264235636	0.527204148	0.00078058445	0.001480611359	3	False
0	moddrop_seed1114	LV	N3_output_only	0.4576825047	0.527204148	0.06952164337	0.131868544	0	True
0	moddrop_seed1114	LV	N5_label_bin_prior	0.4651317646	0.527204148	0.06207238342	0.1177387994	0	True
0	moddrop_seed1114	LV	R0_global	0.4916228832	0.527204148	0.03558126481	0.0674904872	1	False
0	moddrop_seed1114	LV	R0_mode	0.4916228832	0.527204148	0.03558126481	0.0674904872	1	False
0	moddrop_seed1114	LV	R1	0.4576825047	0.527204148	0.06952164337	0.131868544	0	True
0	moddrop_seed1114	LV	R2	0.4316534696	0.527204148	0.09555067846	0.1812403768	0	True
0	uniform_kd_seed1111	L	N0_shuffle_seed23071	0.535801357	0.5124902804	-0.02331107663	-0.04548589021	5	False
0	uniform_kd_seed1111	L	N0_shuffle_seed23072	0.5427440114	0.5124902804	-0.03025373101	-0.05903278982	5	False
0	uniform_kd_seed1111	L	N0_shuffle_seed23073	0.5236468159	0.5124902804	-0.01115653553	-0.02176926267	3	False
0	uniform_kd_seed1111	L	N1_matched_gaussian	0.5180101873	0.5124902804	-0.005519906865	-0.01077075425	3	False
0	uniform_kd_seed1111	L	N2_length_mask_only	0.5146547082	0.5124902804	-0.002164427835	-0.004223353921	2	False
0	uniform_kd_seed1111	L	N3_output_only	0.4431188162	0.5124902804	0.06937146417	0.1353615216	1	False
0	uniform_kd_seed1111	L	N5_label_bin_prior	0.4547658005	0.5124902804	0.05772447987	0.1126352676	1	False
0	uniform_kd_seed1111	L	R0_global	0.4905943065	0.5124902804	0.02189597394	0.04272466187	1	False
0	uniform_kd_seed1111	L	R0_mode	0.4905943065	0.5124902804	0.02189597394	0.04272466187	1	False
0	uniform_kd_seed1111	L	R1	0.4431188162	0.5124902804	0.06937146417	0.1353615216	1	False
0	uniform_kd_seed1111	L	R2	0.4367266583	0.5124902804	0.0757636221	0.1478342615	1	False
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.5197002533	0.5128388561	-0.00686139726	-0.01337924609	3	False
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.5251915849	0.5128388561	-0.01235272885	-0.02408695969	4	False
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.5228636464	0.5128388561	-0.01002479033	-0.01954764194	3	False
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.5069357078	0.5128388561	0.005903148275	0.0115107274	2	False
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.5166116309	0.5128388561	-0.00377277479	-0.007356647698	3	False
0	uniform_kd_seed1111	LA	N3_output_only	0.4491537773	0.5128388561	0.06368507874	0.1241814617	1	False
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.452667542	0.5128388561	0.06017131412	0.1173298657	1	False
0	uniform_kd_seed1111	LA	R0_global	0.4913054616	0.5128388561	0.02153339446	0.04198861729	1	False
0	uniform_kd_seed1111	LA	R0_mode	0.4913054616	0.5128388561	0.02153339446	0.04198861729	1	False
0	uniform_kd_seed1111	LA	R1	0.4491537773	0.5128388561	0.06368507874	0.1241814617	1	False
0	uniform_kd_seed1111	LA	R2	0.4497490503	0.5128388561	0.06308980583	0.123020721	0	True
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23071	0.5143508317	0.5108395602	-0.003511271525	-0.006873530945	3	False
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.5330625064	0.5108395602	-0.02222294623	-0.04350279024	5	False
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.5279737295	0.5108395602	-0.0171341693	-0.03354119499	4	False
0	uniform_kd_seed1111	LAV	N1_matched_gaussian	0.5122441418	0.5108395602	-0.001404581615	-0.00274955529	3	False
0	uniform_kd_seed1111	LAV	N2_length_mask_only	0.5127463107	0.5108395602	-0.00190675056	-0.003732582025	2	False
0	uniform_kd_seed1111	LAV	N3_output_only	0.4504300369	0.5108395602	0.06040952331	0.1182553741	1	False
0	uniform_kd_seed1111	LAV	N5_label_bin_prior	0.4523384197	0.5108395602	0.05850114043	0.1145195967	1	False
0	uniform_kd_seed1111	LAV	R0_global	0.4894642314	0.5108395602	0.02137532882	0.04184352679	1	False
0	uniform_kd_seed1111	LAV	R0_mode	0.4894642314	0.5108395602	0.02137532882	0.04184352679	1	False
0	uniform_kd_seed1111	LAV	R1	0.4504300369	0.5108395602	0.06040952331	0.1182553741	1	False
0	uniform_kd_seed1111	LAV	R2	0.4379847992	0.5108395602	0.07285476098	0.1426176958	0	True
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.507316307	0.5105087797	0.00319247279	0.006253512019	4	False
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.5422006878	0.5105087797	-0.03169190801	-0.06207906558	5	False
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.5231536841	0.5105087797	-0.01264490433	-0.02476922011	4	False
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.5138402509	0.5105087797	-0.003331471155	-0.00652578621	4	False
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.5126156715	0.5105087797	-0.002106891785	-0.004127043194	2	False
0	uniform_kd_seed1111	LV	N3_output_only	0.4389998922	0.5105087797	0.07150888755	0.1400737664	0	True
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.4502892094	0.5105087797	0.06021957037	0.1179599113	1	False
0	uniform_kd_seed1111	LV	R0_global	0.4888168998	0.5105087797	0.02169187994	0.04249070889	1	False
0	uniform_kd_seed1111	LV	R0_mode	0.4888168998	0.5105087797	0.02169187994	0.04249070889	1	False
0	uniform_kd_seed1111	LV	R1	0.4389998922	0.5105087797	0.07150888755	0.1400737664	0	True
0	uniform_kd_seed1111	LV	R2	0.4312972722	0.5105087797	0.07921150759	0.1551618909	1	False
1	cfcompat_seed1111	L	N0_shuffle_seed23071	0.4960263853	0.5055812201	0.009554834745	0.01889871373	3	False
1	cfcompat_seed1111	L	N0_shuffle_seed23072	0.5117708434	0.5055812201	-0.006189623345	-0.01224258952	2	False
1	cfcompat_seed1111	L	N0_shuffle_seed23073	0.4981447872	0.5055812201	0.00743643291	0.01470868105	1	False
1	cfcompat_seed1111	L	N1_matched_gaussian	0.5084951051	0.5055812201	-0.002913884995	-0.005763435981	2	False
1	cfcompat_seed1111	L	N2_length_mask_only	0.4977073714	0.5055812201	0.007873848675	0.01557385512	2	False
1	cfcompat_seed1111	L	N3_output_only	0.4394085411	0.5055812201	0.06617267894	0.1308843689	0	True
1	cfcompat_seed1111	L	N5_label_bin_prior	0.4501325033	0.5055812201	0.05544871678	0.1096732129	1	False
1	cfcompat_seed1111	L	R0_global	0.5115691047	0.5055812201	-0.00598788459	-0.01184356608	4	False
1	cfcompat_seed1111	L	R0_mode	0.5115691047	0.5055812201	-0.00598788459	-0.01184356608	4	False
1	cfcompat_seed1111	L	R1	0.4394085411	0.5055812201	0.06617267894	0.1308843689	0	True
1	cfcompat_seed1111	L	R2	0.428341989	0.5055812201	0.07723923111	0.1527731412	0	True
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.5035023704	0.5064339339	0.00293156348	0.005788639512	2	False
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.5156903513	0.5064339339	-0.00925641745	-0.01827764064	4	False
1	cfcompat_seed1111	LA	N0_shuffle_seed23073	0.4894305956	0.5064339339	0.01700333826	0.03357464246	0	True
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.5110659704	0.5064339339	-0.004632036515	-0.009146378639	2	False
1	cfcompat_seed1111	LA	N2_length_mask_only	0.4982029595	0.5064339339	0.008230974435	0.01625280986	2	False
1	cfcompat_seed1111	LA	N3_output_only	0.4413716335	0.5064339339	0.06506230043	0.1284714473	0	True
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.447170844	0.5064339339	0.0592630899	0.1170203771	1	False
1	cfcompat_seed1111	LA	R0_global	0.5121366277	0.5064339339	-0.005702693795	-0.0112604891	4	False
1	cfcompat_seed1111	LA	R0_mode	0.5121366277	0.5064339339	-0.005702693795	-0.0112604891	4	False
1	cfcompat_seed1111	LA	R1	0.4413716335	0.5064339339	0.06506230043	0.1284714473	0	True
1	cfcompat_seed1111	LA	R2	0.4330935458	0.5064339339	0.0733403881	0.1448172865	0	True
