checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
0	moddrop_seed1114	LAV	0.9	0.8888888889	0.1143245347	1.216209116	0.7662880106
0	moddrop_seed1114	LA	0.5	0.4967320261	0.1834355317	0.4529718037	0.7659905575
0	moddrop_seed1114	LA	0.8	0.8013071895	0.1597948673	0.9162804555	0.7659905575
0	moddrop_seed1114	LA	0.9	0.8895424837	0.1141605627	1.218962361	0.7659905575
0	moddrop_seed1114	LV	0.5	0.5	0.1818560818	0.4483263644	0.7585833785
0	moddrop_seed1114	LV	0.8	0.7921568627	0.1591285859	0.9041605485	0.7585833785
0	moddrop_seed1114	LV	0.9	0.8908496732	0.1126572091	1.206909743	0.7585833785
0	moddrop_seed1114	L	0.5	0.4947712418	0.183363697	0.4477278033	0.7777193056
0	moddrop_seed1114	L	0.8	0.7928104575	0.1599382971	0.9170230424	0.7777193056
0	moddrop_seed1114	L	0.9	0.8973856209	0.1127377567	1.225447109	0.7777193056
0	cfcompat_seed1111	LAV	0.5	0.5045751634	0.1749629184	0.4421621322	0.755083452
0	cfcompat_seed1111	LAV	0.8	0.8039215686	0.1532174497	0.8854087556	0.755083452
0	cfcompat_seed1111	LAV	0.9	0.9045751634	0.1094819063	1.197245584	0.755083452
0	cfcompat_seed1111	LA	0.5	0.5071895425	0.1754952016	0.4438669753	0.7429981669
0	cfcompat_seed1111	LA	0.8	0.7993464052	0.1535974573	0.8868277707	0.7429981669
0	cfcompat_seed1111	LA	0.9	0.9013071895	0.1091474642	1.186865142	0.7429981669
0	cfcompat_seed1111	LV	0.5	0.5026143791	0.1748467152	0.4448320548	0.7513949048
0	cfcompat_seed1111	LV	0.8	0.8078431373	0.1522248663	0.8859553086	0.7513949048
0	cfcompat_seed1111	LV	0.9	0.9026143791	0.1083132842	1.19622696	0.7513949048
0	cfcompat_seed1111	L	0.5	0.5052287582	0.1748351057	0.4426752229	0.7553989209
0	cfcompat_seed1111	L	0.8	0.7993464052	0.1537060335	0.8881562537	0.7553989209
0	cfcompat_seed1111	L	0.9	0.9032679739	0.1093408242	1.198074144	0.7553989209
0	cfcompat_seed1114	LAV	0.5	0.4921568627	0.1817374758	0.4448349713	0.7628456984
0	cfcompat_seed1114	LAV	0.8	0.8058823529	0.1593001169	0.8978020911	0.7628456984
0	cfcompat_seed1114	LAV	0.9	0.8888888889	0.1133758268	1.20768067	0.7628456984
0	cfcompat_seed1114	LA	0.5	0.4947712418	0.1813067623	0.4404719945	0.7633174302
0	cfcompat_seed1114	LA	0.8	0.8032679739	0.1590853541	0.9056731261	0.7633174302
0	cfcompat_seed1114	LA	0.9	0.8908496732	0.1119988879	1.203789425	0.7633174302
0	cfcompat_seed1114	LV	0.5	0.4875816993	0.180696017	0.4420325973	0.7706097221
0	cfcompat_seed1114	LV	0.8	0.8058823529	0.1598109958	0.9014145285	0.7706097221
0	cfcompat_seed1114	LV	0.9	0.8941176471	0.1134266979	1.212642319	0.7706097221
0	cfcompat_seed1114	L	0.5	0.4862745098	0.1806105571	0.4429335332	0.7703071219
0	cfcompat_seed1114	L	0.8	0.7993464052	0.1572024617	0.9023049121	0.7703071219
0	cfcompat_seed1114	L	0.9	0.9013071895	0.110221005	1.213240655	0.7703071219
1	uniform_kd_seed1111	LAV	0.5	0.5026985351	0.1707526082	0.4377234956	0.774924164
1	uniform_kd_seed1111	LAV	0.8	0.7925983038	0.1500222291	0.8758030493	0.774924164
1	uniform_kd_seed1111	LAV	0.9	0.899768697	0.1062416966	1.21264766	0.774924164
1	uniform_kd_seed1111	LA	0.5	0.5065535852	0.1709230596	0.4401342324	0.7699114863
1	uniform_kd_seed1111	LA	0.8	0.7933693138	0.1506114233	0.8803933499	0.7699114863
1	uniform_kd_seed1111	LA	0.9	0.9028527371	0.1061831037	1.210045719	0.7699114863
1	uniform_kd_seed1111	LV	0.5	0.5119506554	0.1698871522	0.438697248	0.7759177505
1	uniform_kd_seed1111	LV	0.8	0.8033924441	0.1493167764	0.8816473125	0.7759177505
1	uniform_kd_seed1111	LV	0.9	0.9051657672	0.1059891566	1.214614999	0.7759177505
1	uniform_kd_seed1111	L	0.5	0.5088666153	0.1703613263	0.4441416226	0.7647494468
1	uniform_kd_seed1111	L	0.8	0.7941403238	0.1504683417	0.8801585585	0.7647494468
1	uniform_kd_seed1111	L	0.9	0.9043947571	0.1056499075	1.208891069	0.7647494468
1	moddrop_seed1111	LAV	0.5	0.4865073246	0.1750809334	0.4288507694	0.8011488737
1	moddrop_seed1111	LAV	0.8	0.7964533539	0.1533522844	0.8943099805	0.8011488737
1	moddrop_seed1111	LAV	0.9	0.8966846569	0.1050381167	1.229999643	0.8011488737
1	moddrop_seed1111	LA	0.5	0.4926754048	0.1750841994	0.4280453607	0.811041167
1	moddrop_seed1111	LA	0.8	0.799537394	0.1539972413	0.8986075323	0.811041167
1	moddrop_seed1111	LA	0.9	0.8928296068	0.1059020288	1.239086528	0.811041167
1	moddrop_seed1111	LV	0.5	0.4888203547	0.1746769093	0.4318662861	0.8032560731
1	moddrop_seed1111	LV	0.8	0.8057054742	0.15371828	0.8989093327	0.8032560731
1	moddrop_seed1111	LV	0.9	0.898997687	0.1057838269	1.235122359	0.8032560731
1	moddrop_seed1111	L	0.5	0.4957594449	0.175053741	0.4318927434	0.8045108524
1	moddrop_seed1111	L	0.8	0.800308404	0.1539704187	0.9060646343	0.8045108524
