checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	uniform_kd_seed1111	LA	R0_mode	0.7	1071	0.5515033065	0.6125621224	0.5698209512	0.01831764477
0	uniform_kd_seed1111	LA	R0_mode	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	R1	0.1	153	0.4290811412	0.5854587079	0.5698209512	0.1407398101
0	uniform_kd_seed1111	LA	R1	0.2	306	0.4041147643	0.611247498	0.5698209512	0.1657061869
0	uniform_kd_seed1111	LA	R1	0.3	459	0.4477939755	0.6221182266	0.5698209512	0.1220269757
0	uniform_kd_seed1111	LA	R1	0.5	765	0.5075077076	0.6321341949	0.5698209512	0.06231324364
0	uniform_kd_seed1111	LA	R1	0.7	1071	0.5325778533	0.6567215131	0.5698209512	0.03724309793
0	uniform_kd_seed1111	LA	R1	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	R2	0.1	153	0.4101341185	0.5875639327	0.5698209512	0.1596868327
0	uniform_kd_seed1111	LA	R2	0.2	306	0.4525894318	0.5991288311	0.5698209512	0.1172315195
0	uniform_kd_seed1111	LA	R2	0.3	459	0.465678465	0.6144534454	0.5698209512	0.1041424863
0	uniform_kd_seed1111	LA	R2	0.5	765	0.5022996722	0.6373422303	0.5698209512	0.06752127904
0	uniform_kd_seed1111	LA	R2	0.7	1071	0.5127942171	0.7028833308	0.5698209512	0.0570267341
0	uniform_kd_seed1111	LA	R2	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N3_output_only	0.1	153	0.4290811412	0.5854587079	0.5698209512	0.1407398101
0	uniform_kd_seed1111	LA	N3_output_only	0.2	306	0.4041147643	0.611247498	0.5698209512	0.1657061869
0	uniform_kd_seed1111	LA	N3_output_only	0.3	459	0.4477939755	0.6221182266	0.5698209512	0.1220269757
0	uniform_kd_seed1111	LA	N3_output_only	0.5	765	0.5075077076	0.6321341949	0.5698209512	0.06231324364
0	uniform_kd_seed1111	LA	N3_output_only	0.7	1071	0.5325778533	0.6567215131	0.5698209512	0.03724309793
0	uniform_kd_seed1111	LA	N3_output_only	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.1	153	0.584246557	0.5682181062	0.5698209512	-0.01442560572
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.2	306	0.5974876626	0.5629042734	0.5698209512	-0.02766671136
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.3	459	0.5954393653	0.5588416309	0.5698209512	-0.02561841404
