checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
0	moddrop_seed1114	LA	20	20	35	0.02287581699	0.8999904443	0.1198025458	0
0	moddrop_seed1114	LA	30	10	40	0.02614379085	0.9182718121	0.2321335321	0.05
0	moddrop_seed1114	LA	30	20	64	0.04183006536	0.9098951228	0.2532188059	0.03125
0	moddrop_seed1114	LA	40	10	50	0.03267973856	0.8295810811	0.1973347335	0.04
0	moddrop_seed1114	LA	40	20	87	0.0568627451	0.7887144439	0.2109708177	0.02298850575
0	moddrop_seed1114	LV	20	10	18	0.01176470588	0.9126249265	0.08026757778	0
0	moddrop_seed1114	LV	20	20	35	0.02287581699	0.8877018634	0.102533961	0
0	moddrop_seed1114	LV	30	10	26	0.01699346405	0.9235116612	0.1638410956	0.03846153846
0	moddrop_seed1114	LV	30	20	51	0.03333333333	0.9034986544	0.1902636865	0.01960784314
0	moddrop_seed1114	LV	40	10	37	0.02418300654	0.775112688	0.1260244489	0.02702702703
0	moddrop_seed1114	LV	40	20	73	0.0477124183	0.760861594	0.158541096	0.01369863014
0	moddrop_seed1114	L	20	10	23	0.01503267974	0.9221026514	0.1377380295	0
0	moddrop_seed1114	L	20	20	46	0.03006535948	0.894615024	0.1511296423	0
0	moddrop_seed1114	L	30	10	31	0.02026143791	0.896274936	0.1276170675	0
0	moddrop_seed1114	L	30	20	62	0.04052287582	0.8710556386	0.1560063973	0
0	moddrop_seed1114	L	40	10	43	0.02810457516	0.8577282182	0.123633386	0
0	moddrop_seed1114	L	40	20	84	0.05490196078	0.8348152539	0.1619761582	0
0	cfcompat_seed1111	LAV	20	10	14	0.009150326797	0.8529494911	0.03029715832	0
0	cfcompat_seed1111	LAV	20	20	30	0.01960784314	0.8689111111	0.07214422184	0
0	cfcompat_seed1111	LAV	30	10	22	0.01437908497	0.8800639016	0.06259690664	0
0	cfcompat_seed1111	LAV	30	20	48	0.03137254902	0.8929093567	0.1417220519	0
0	cfcompat_seed1111	LAV	40	10	34	0.02222222222	0.7236552375	0.053002409	0
0	cfcompat_seed1111	LAV	40	20	70	0.04575163399	0.7524266145	0.1208177657	0
0	cfcompat_seed1111	LA	20	10	15	0.009803921569	0.8416721672	0.03220370056	0
0	cfcompat_seed1111	LA	20	20	30	0.01960784314	0.8755555556	0.08444183679	0
0	cfcompat_seed1111	LA	30	10	23	0.01503267974	0.8474366002	0.04708566253	0
0	cfcompat_seed1111	LA	30	20	49	0.03202614379	0.8799762984	0.1300997702	0
0	cfcompat_seed1111	LA	40	10	32	0.02091503268	0.7098422897	0.04187848465	0
0	cfcompat_seed1111	LA	40	20	70	0.04575163399	0.7237475538	0.110038551	0
0	cfcompat_seed1111	LV	20	10	13	0.008496732026	0.8779473658	0.04312298588	0
0	cfcompat_seed1111	LV	20	20	28	0.01830065359	0.8790422294	0.1291710212	0.03571428571
0	cfcompat_seed1111	LV	30	10	19	0.01241830065	0.8761712355	0.06690640593	0
0	cfcompat_seed1111	LV	30	20	42	0.02745098039	0.8812083973	0.1871353069	0.02380952381
0	cfcompat_seed1111	LV	40	10	31	0.02026143791	0.7440874562	0.05497004683	0
0	cfcompat_seed1111	LV	40	20	69	0.04509803922	0.7506175044	0.1458116722	0.01449275362
0	cfcompat_seed1111	L	20	10	22	0.01437908497	0.8840426815	0.07245466577	0
0	cfcompat_seed1111	L	20	20	44	0.02875816993	0.8870977609	0.1376738296	0
0	cfcompat_seed1111	L	30	10	27	0.01764705882	0.8856854193	0.08729308097	0
0	cfcompat_seed1111	L	30	20	54	0.03529411765	0.8898047777	0.1627484101	0
0	cfcompat_seed1111	L	40	10	30	0.01960784314	0.8504	0.08307501395	0
0	cfcompat_seed1111	L	40	20	68	0.04444444444	0.8136114911	0.1468973696	0
0	cfcompat_seed1114	LAV	20	10	19	0.01241830065	0.8966177854	0.08343454962	0
0	cfcompat_seed1114	LAV	20	20	35	0.02287581699	0.907176302	0.1807940054	0
0	cfcompat_seed1114	LAV	30	10	33	0.02156862745	0.9159531184	0.1490908486	0
0	cfcompat_seed1114	LAV	30	20	61	0.03986928105	0.920856164	0.2970574639	0
0	cfcompat_seed1114	LAV	40	10	40	0.02614379085	0.831988255	0.1307987307	0
0	cfcompat_seed1114	LAV	40	20	81	0.05294117647	0.7966882226	0.2439862421	0
0	cfcompat_seed1114	LA	20	10	18	0.01176470588	0.9013080541	0.07075445011	0
0	cfcompat_seed1114	LA	20	20	38	0.02483660131	0.9052843234	0.1236553342	0
0	cfcompat_seed1114	LA	30	10	31	0.02026143791	0.9062816071	0.1247904928	0
0	cfcompat_seed1114	LA	30	20	63	0.04117647059	0.9099879897	0.2178797097	0
0	cfcompat_seed1114	LA	40	10	41	0.02679738562	0.8099395567	0.107021155	0
0	cfcompat_seed1114	LA	40	20	88	0.05751633987	0.8112154835	0.1950436697	0
0	cfcompat_seed1114	LV	20	10	15	0.009803921569	0.8556215622	0.03545709443	0
0	cfcompat_seed1114	LV	20	20	32	0.02091503268	0.8815504005	0.1042747921	0
0	cfcompat_seed1114	LV	30	10	28	0.01830065359	0.8647279817	0.063860851	0
0	cfcompat_seed1114	LV	30	20	54	0.03529411765	0.8821765532	0.1445993317	0
0	cfcompat_seed1114	LV	40	10	37	0.02418300654	0.7513079054	0.05793946275	0
0	cfcompat_seed1114	LV	40	20	78	0.05098039216	0.7599509077	0.1276945951	0
0	cfcompat_seed1114	L	20	10	17	0.01111111111	0.9113176004	0.0650656396	0
0	cfcompat_seed1114	L	20	20	35	0.02287581699	0.8969708552	0.1029485348	0
0	cfcompat_seed1114	L	30	10	26	0.01699346405	0.9206730769	0.1031191278	0
0	cfcompat_seed1114	L	30	20	55	0.03594771242	0.9106563945	0.1747210394	0
0	cfcompat_seed1114	L	40	10	38	0.02483660131	0.8318576266	0.09665586835	0
0	cfcompat_seed1114	L	40	20	80	0.0522875817	0.8174655172	0.1618989727	0
1	uniform_kd_seed1111	LAV	20	10	13	0.0100231303	0.8534028277	0.03641981391	0
1	uniform_kd_seed1111	LAV	20	20	34	0.02621434079	0.8941828513	0.176926192	0.02941176471
