outer_fold,expert_id,mode,J,MAE,Corr,Acc7,Acc5,Acc2,F1
3,cfcompat_seed1114,L,0.7778413294,0.7778413294,0.7447494508,0.4020979021,0.4545454545,0.8376383764,0.8376383764
3,cfcompat_seed1114,MissingMacro,0.7766242878,0.7766242878,0.745793374,0.4102564103,0.4615384615,0.8364083641,0.8363962631
4,uniform_kd_seed1111,LAV,0.8020507159,0.8020507159,0.7568215025,0.4197080292,0.5255474453,0.7680608365,0.767817377
4,uniform_kd_seed1111,LA,0.7965350914,0.7965350914,0.7553225111,0.4379562044,0.5328467153,0.7756653992,0.7752396112
4,uniform_kd_seed1111,LV,0.8023945358,0.8023945358,0.752939668,0.4379562044,0.5364963504,0.7680608365,0.767620615
4,uniform_kd_seed1111,L,0.7991444803,0.7991444803,0.7514020299,0.4562043796,0.5474452555,0.7642585551,0.7637005465
4,uniform_kd_seed1111,MissingMacro,0.7993580358,0.7993580358,0.753221403,0.4440389294,0.5389294404,0.7693282636,0.7688535909
4,moddrop_seed1111,LAV,0.7386867077,0.7386867077,0.7584961871,0.5145985401,0.5510948905,0.783269962,0.7836090687
4,moddrop_seed1111,LA,0.7394935073,0.7394935073,0.7577602918,0.503649635,0.5437956204,0.783269962,0.7836090687
4,moddrop_seed1111,LV,0.7398468031,0.7398468031,0.7576166332,0.5109489051,0.5474452555,0.7870722433,0.7873931779
4,moddrop_seed1111,L,0.7407631333,0.7407631333,0.7567828407,0.503649635,0.5401459854,0.7870722433,0.7873931779
4,moddrop_seed1111,MissingMacro,0.7400344812,0.7400344812,0.7573865886,0.5060827251,0.5437956204,0.7858048162,0.7861318082
4,moddrop_seed1114,LAV,0.8492109646,0.8492109646,0.7106013016,0.3905109489,0.4087591241,0.7414448669,0.7378115758
4,moddrop_seed1114,LA,0.8575762064,0.8575762064,0.7049294854,0.3832116788,0.401459854,0.7338403042,0.7306063818
4,moddrop_seed1114,LV,0.8605121662,0.8605121662,0.7028059653,0.3613138686,0.3795620438,0.7414448669,0.7372860509
4,moddrop_seed1114,L,0.8679415882,0.8679415882,0.6965709693,0.3649635036,0.3832116788,0.7414448669,0.7372860509
4,moddrop_seed1114,MissingMacro,0.8620099869,0.8620099869,0.7014354733,0.3698296837,0.3880778589,0.7389100127,0.7350594945
4,cfcompat_seed1111,LAV,0.7997117184,0.7997117184,0.750946157,0.4379562044,0.4854014599,0.7680608365,0.7684098948
4,cfcompat_seed1111,LA,0.802910718,0.802910718,0.7491761792,0.4416058394,0.4927007299,0.7680608365,0.7684098948
4,cfcompat_seed1111,LV,0.8086930567,0.8086930567,0.7475060301,0.4562043796,0.5,0.7642585551,0.764592795
4,cfcompat_seed1111,L,0.8132532952,0.8132532952,0.7455805296,0.4562043796,0.496350365,0.7604562738,0.7606918235
4,cfcompat_seed1111,MissingMacro,0.80828569,0.80828569,0.747420913,0.4513381995,0.496350365,0.7642585551,0.7645648378
4,cfcompat_seed1114,LAV,0.7791873514,0.7791873514,0.7298447743,0.4927007299,0.5291970803,0.7604562738,0.7588995372
4,cfcompat_seed1114,LA,0.7768746119,0.7768746119,0.7281940102,0.5182481752,0.5510948905,0.752851711,0.7518742536
4,cfcompat_seed1114,LV,0.7808498406,0.7808498406,0.7268823366,0.4927007299,0.5291970803,0.7604562738,0.7588995372
4,cfcompat_seed1114,L,0.7790849987,0.7790849987,0.7248762113,0.5109489051,0.5510948905,0.752851711,0.7518742536
4,cfcompat_seed1114,MissingMacro,0.7789364837,0.7789364837,0.7266508527,0.5072992701,0.5437956204,0.7553865653,0.7542160148
